AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-11-2022_21-00-43,
Profile Duration:,24 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,21:0:43:855,   22.51,    0.36,    0.28,    0.48,    0.51,    0.94,    0.81
2,21:0:43:955,   21.13,    0.05,    0.02,    0.36,    0.09,    0.34,    0.27
3,21:0:44:055,   20.19,    0.04,    0.03,    0.34,    0.03,    0.31,    0.00
4,21:0:44:155,   20.50,    0.04,    0.03,    0.36,    0.03,    0.32,    0.02
5,21:0:44:255,   21.00,    0.26,    0.33,    0.43,    0.04,    0.39,    0.00
6,21:0:44:355,   21.08,    0.37,    0.35,    0.44,    0.03,    0.42,    0.02
7,21:0:44:455,   21.73,    0.68,    0.92,    0.59,    0.05,    0.58,    0.31
8,21:0:44:555,   23.63,    1.50,    1.20,    1.04,    2.14,    1.58,    1.15
9,21:0:44:655,   23.48,    0.68,    0.78,    0.72,    1.18,    1.00,    0.98
10,21:0:44:755,   23.50,    0.86,    0.85,    0.61,    1.22,    0.80,    0.69
11,21:0:44:855,   21.60,    0.64,    0.52,    0.43,    0.49,    0.38,    0.43
12,21:0:44:955,   21.44,    0.36,    0.21,    0.40,    0.37,    0.02,    0.10
13,21:0:45:055,   21.03,    0.36,    0.14,    0.36,    0.31,    0.03,    0.04
14,21:0:45:155,   24.49,    0.95,    0.78,    4.94,    0.77,    0.68,    0.67
15,21:0:45:255,   31.89,    1.74,    1.34,   12.57,    1.37,    1.25,    1.38
16,21:0:45:355,   33.53,    3.30,    2.24,   12.53,    2.36,    1.43,    3.00
17,21:0:45:455,   27.44,    2.10,    2.39,    4.86,    1.29,    0.94,    1.71
18,21:0:45:555,   26.35,    1.59,    1.99,    1.38,    2.18,    1.35,    2.42
19,21:0:45:655,   22.39,    0.82,    0.72,    0.58,    1.34,    0.65,    0.60
20,21:0:45:755,   21.64,    0.65,    0.61,    0.48,    0.52,    0.60,    0.49
21,21:0:45:855,   21.84,    0.71,    0.48,    0.46,    0.43,    0.59,    0.48
22,21:0:45:955,   21.43,    0.35,    0.31,    0.38,    0.37,    0.36,    0.37
23,21:0:46:055,   21.98,    1.73,    0.34,    0.54,    0.54,    0.34,    0.32
24,21:0:46:155,   48.07,    7.65,    4.19,    8.98,    5.80,    9.07,    4.53
25,21:0:46:255,   39.52,    9.24,    2.04,    3.16,    2.23,   11.06,    2.15
26,21:0:46:355,   34.87,    5.42,    2.10,    2.76,    2.27,   11.05,    1.69
27,21:0:46:455,   36.41,    6.28,    1.85,    2.32,    1.92,   11.88,    1.17
28,21:0:46:555,   32.03,    3.77,    1.63,    1.81,    1.92,   11.48,    1.42
29,21:0:46:655,   25.55,    1.28,    1.28,    1.55,    1.22,    6.18,    0.50
30,21:0:46:755,   27.70,    1.35,    1.42,    1.49,    1.34,   10.15,    0.21
31,21:0:46:855,   29.01,    1.52,    1.53,    1.57,    1.49,   10.13,    0.26
