AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-04-2022_16-10-59,
Profile Duration:,50 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,16:10:59:876,   24.57,    0.16,    0.68,    0.26,    0.18,   12.60,    0.67
2,16:10:59:976,   22.72,    0.05,    0.07,    0.05,    0.05,   12.75,    0.05
3,16:11:0:076,   22.95,    0.05,    0.06,    0.09,    0.14,   12.70,    0.06
4,16:11:0:176,   20.44,    0.01,    0.13,    0.01,    0.00,    1.33,    0.00
5,16:11:0:276,   20.01,    0.00,    0.00,    0.00,    0.00,    0.29,    0.00
6,16:11:0:376,   13.52,    0.00,    0.12,    0.10,    0.05,    0.12,    0.04
7,16:11:0:476,   26.41,    0.03,    0.02,    0.17,    0.06,    0.03,    0.27
8,16:11:0:576,   19.55,    0.10,    0.31,    0.16,    0.09,    0.00,    0.10
9,16:11:0:676,   20.61,    0.00,    0.43,    0.43,    0.41,    0.00,    0.39
10,16:11:0:776,   20.77,    0.01,    0.43,    0.41,    0.40,    0.01,    0.30
11,16:11:0:876,   21.93,    0.73,    0.97,    0.53,    0.83,    0.57,    0.63
12,16:11:0:976,   21.38,    0.39,    0.65,    0.31,    0.59,    0.40,    0.43
13,16:11:1:076,   21.54,    0.20,    0.44,    0.14,    0.30,    0.46,    0.18
14,16:11:1:176,   22.03,    1.15,    0.54,    0.42,    0.58,    0.64,    0.51
15,16:11:1:276,   21.38,    0.57,    0.60,    0.52,    0.69,    0.54,    0.51
16,16:11:1:376,   20.98,    0.19,    0.42,    0.13,    0.44,    0.21,    0.29
17,16:11:1:476,   20.53,    0.16,    0.40,    0.12,    0.21,    0.16,    0.10
18,16:11:1:576,   24.41,    0.53,    3.18,    1.10,    1.07,    0.68,    1.12
19,16:11:1:676,   22.53,    0.53,    1.75,    0.87,    0.70,    0.66,    0.70
20,16:11:1:776,   22.08,    0.66,    0.74,    0.59,    0.55,    0.83,    0.46
21,16:11:1:876,   21.06,    0.04,    0.23,    0.42,    0.41,    0.38,    0.02
22,16:11:1:976,   20.55,    0.02,    0.33,    0.17,    0.32,    0.32,    0.01
23,16:11:2:076,   20.43,    0.03,    0.40,    0.01,    0.25,    0.13,    0.11
24,16:11:2:176,   16.62,    0.23,    0.17,    0.34,    0.30,    0.21,    0.24
25,16:11:2:276,   22.78,    0.05,    0.14,    0.00,    0.20,    0.00,    0.11
26,16:11:2:376,   17.73,    0.00,    0.18,    0.13,    0.16,    0.00,    0.07
27,16:11:2:476,   26.42,    0.92,    6.53,    0.90,    0.93,    0.91,    0.73
28,16:11:2:576,   44.52,    9.16,    9.00,    3.87,    3.67,    3.00,    6.48
29,16:11:2:676,   30.52,    9.36,    3.36,    1.39,    1.26,    1.18,    1.57
30,16:11:2:776,   28.54,    9.54,    1.06,    1.23,    1.32,    1.12,    1.40
31,16:11:2:876,   26.14,    9.28,    0.75,    0.96,    0.97,    1.26,    0.67
32,16:11:2:976,   24.14,    9.44,    0.08,    0.57,    0.91,    0.18,    0.18
33,16:11:3:076,   25.03,   10.14,    0.05,    0.90,    1.08,    0.13,    0.36
34,16:11:3:176,   24.81,    8.96,    0.16,    1.16,    1.11,    0.14,    0.27
35,16:11:3:276,   25.31,    9.39,    0.35,    0.80,    1.12,    0.33,    0.29
37,16:11:3:476,   25.41,    9.56,    0.11,    0.32,    1.11,    0.17,    1.02
38,16:11:3:576,   26.34,    9.58,    0.05,    1.11,    1.30,    0.34,    1.29
39,16:11:3:676,   25.36,    9.73,    0.14,    1.08,    1.12,    0.47,    1.01
40,16:11:3:776,   25.25,    9.20,    0.60,    1.01,    1.14,    0.20,    0.75
41,16:11:3:876,   25.05,    9.53,    0.74,    0.65,    1.22,    0.22,    0.18
42,16:11:3:976,   24.30,    9.39,    0.08,    0.05,    1.51,    0.20,    0.14
43,16:11:4:076,   23.97,    9.43,    0.12,    0.80,    1.29,    0.26,    0.30
44,16:11:4:176,   24.28,    9.85,    0.10,    0.11,    1.31,    0.18,    0.38
45,16:11:4:276,   24.04,    9.39,    0.10,    0.04,    1.19,    0.17,    0.93
46,16:11:4:376,   24.01,    9.53,    0.08,    0.13,    1.21,    0.24,    0.51
47,16:11:4:476,   24.32,    9.56,    0.17,    0.11,    1.38,    0.20,    0.74
48,16:11:4:576,   24.98,    9.63,    0.11,    0.16,    1.45,    0.27,    0.65
49,16:11:4:676,   24.61,    7.17,    0.11,    0.09,    1.40,    0.18,    0.63
50,16:11:4:776,   27.98,    9.52,    0.59,    0.05,    3.58,    0.23,    0.36
51,16:11:4:876,   35.42,   10.82,    0.34,    0.17,   12.09,    0.64,    0.85
52,16:11:4:976,   35.76,   11.65,    0.18,    0.13,   12.44,    1.65,    0.32
53,16:11:5:076,   34.36,   10.15,    0.15,    0.20,   12.29,    1.57,    0.28
54,16:11:5:176,   31.58,   11.23,    0.85,    0.07,    7.33,    1.55,    1.07
55,16:11:5:276,   26.75,   10.31,    1.20,    0.13,    1.28,    0.61,    0.43
56,16:11:5:376,   26.48,   10.35,    1.20,    0.06,    1.21,    0.31,    0.61
57,16:11:5:476,   26.81,   10.36,    1.25,    0.06,    1.26,    0.17,    0.23
58,16:11:5:576,   24.58,    7.62,    1.14,    0.06,    1.19,    0.22,    0.24
59,16:11:5:676,   26.92,   10.32,    1.08,    0.33,    1.23,    0.06,    0.26
60,16:11:5:776,   25.55,    9.24,    0.93,    0.15,    1.35,    0.43,    0.13
61,16:11:5:876,   26.85,   10.89,    1.20,    0.11,    1.38,    0.05,    0.34
62,16:11:5:976,   26.70,   10.81,    1.12,    0.12,    1.41,    0.10,    0.25
63,16:11:6:076,   26.71,   10.63,    0.60,    0.13,    1.38,    0.04,    0.19
64,16:11:6:176,   27.03,   10.82,    1.10,    0.10,    1.48,    0.03,    0.26
65,16:11:6:276,   26.84,   10.49,    1.24,    0.21,    1.43,    0.04,    0.09
66,16:11:6:376,   24.43,    5.60,    1.05,    0.10,    1.24,    0.04,    0.28
67,16:11:6:476,   26.14,   10.06,    1.07,    0.07,    1.41,    0.12,    0.24
68,16:11:6:576,   26.95,   10.63,    1.19,    0.15,    1.45,    0.04,    0.22
69,16:11:6:676,   26.87,    9.83,    1.09,    0.11,    1.44,    0.11,    0.34
70,16:11:6:776,   27.38,   10.84,    1.28,    0.14,    1.51,    0.09,    0.26
71,16:11:6:876,   26.75,   10.83,    1.20,    0.22,    1.43,    0.08,    0.17
72,16:11:6:976,   26.79,   10.81,    1.24,    0.12,    1.46,    0.04,    0.28
73,16:11:7:076,   27.55,   10.79,    1.21,    0.10,    1.44,    0.09,    0.16
74,16:11:7:176,   26.52,   10.67,    1.24,    0.13,    1.28,    0.11,    0.31
75,16:11:7:276,   26.61,   10.81,    1.17,    0.16,    0.36,    0.07,    0.19
76,16:11:7:376,   26.80,   10.91,    1.27,    0.93,    0.99,    0.08,    0.23
77,16:11:7:476,   26.52,   10.44,    1.22,    0.84,    1.37,    0.04,    0.22
78,16:11:7:576,   26.61,   11.07,    1.26,    0.09,    1.38,    0.09,    0.60
79,16:11:7:676,   27.86,   10.92,    1.27,    0.17,    1.23,    0.18,    1.38
80,16:11:7:776,   26.01,   10.38,    1.36,    0.33,    0.18,    0.61,    0.99
82,16:11:7:976,   25.13,    5.37,    0.99,    0.41,    0.35,    0.18,    0.06
83,16:11:8:076,   24.73,    6.33,    0.82,    1.09,    0.50,    0.04,    0.04
84,16:11:8:176,   26.65,    9.07,    0.29,    1.17,    0.17,    0.11,    0.03
85,16:11:8:276,   27.29,    8.90,    0.33,    1.25,    0.25,    0.04,    0.03
86,16:11:8:376,   27.27,    8.82,    0.28,    1.27,    0.27,    0.09,    0.08
87,16:11:8:476,   26.36,    9.06,    0.33,    1.28,    0.16,    0.04,    0.04
88,16:11:8:576,   26.09,    9.43,    0.30,    1.29,    0.25,    0.07,    0.06
89,16:11:8:676,   26.26,    9.22,    0.30,    1.35,    0.32,    0.04,    0.07
90,16:11:8:776,   23.94,    6.65,    0.26,    1.38,    0.43,    0.04,    0.06
91,16:11:8:876,   26.47,    9.26,    0.26,    1.28,    0.75,    0.32,    0.04
